file,page,page_title,order_on_page,nearby_label,alt_text,width,height,bytes,pos_x_pct,pos_y_pct,w_pct,h_pct,media_id
p1_01_soft-watercolor-splash-stain-background_vMlpd3st.png,1,Overall mood,1,Unawatuna,Soft watercolor splash stain background,384,430,49956,61.3,-24.7,57.2,80,vMlpd3stG58aHB3O9vM4VaBoitMYEBzJOS5cj2YM820.png
p1_02_pink-watercolor-splatter_d-Cu7yf7.png,1,Overall mood,2,Hikkaduwa,Pink Watercolor Splatter ,800,517,90714,-13.7,-12.2,47.7,38.5,d-Cu7yf72rfVJU3ze_fDV-uGyYQOARnWT-hAvRInNwg.png
p1_03_island-chill_8502272e.jpg,1,Overall mood,3,ISLAND CHILL,,736,1308,333806,89.4,1.3,13.7,30.4,8502272e-3827-497c-9dd3-e286d03f0f31
p1_04_orange-watercolor-splotch-shape_kHM58rAM.png,1,Overall mood,4,TRAIN RIDES,Orange Watercolor Splotch Shape,800,781,181741,14.1,4.4,65.6,80,kHM58rAMoUtp8h4_U8sDx9MgBZIAVXmZEHMmJbSCHR4.png
p1_05_island-chill_4d713f56.jpg,1,Overall mood,5,ISLAND CHILL,,736,920,333065,77.2,6.7,11.8,18.4,4d713f56-38d5-462c-a757-7c8c60bb1036
p1_06_train-rides_d5ecafc7.jpg,1,Overall mood,6,TRAIN RIDES,,736,1103,221835,33.3,8.2,15,28.2,d5ecafc7-5033-4e74-addc-d6aa5adfd059
p1_07_beach-towns_1c8af8ed.jpg,1,Overall mood,7,BEACH TOWNS,,736,981,149089,49.6,8.2,14.1,23.6,1c8af8ed-5b40-4232-ab9b-186c8e1462d4
p1_08_hikkaduwa_24c04bd2.jpg,1,Overall mood,8,Hikkaduwa,,547,824,79981,17.5,11.3,14.6,27.6,24c04bd2-2cdf-47a8-86f0-7cd71dfa48fd
p1_09_unawatuna_022fcb7e.jpg,1,Overall mood,9,Unawatuna,,736,981,226524,64.6,12,11.9,19.7,022fcb7e-d44d-49cf-8164-54d91e62f663
p1_10_galle_533c89bd.jpg,1,Overall mood,10,Galle,,736,981,160673,2.2,17.4,14.5,24.2,533c89bd-92a0-4b77-8439-d3ed3f65c011
p1_11_watercolor-splash-splatter-pastel_3812c1ad.png,1,Overall mood,11,Galle,Watercolor Splash Splatter Pastel,800,712,891134,-52.8,18.5,71.9,80,3812c1ad-06c5-45f5-8c86-99afeeb9bb54
p1_12_4f411b45.jpg,1,Overall mood,12,,,736,981,215498,82.4,26.7,15,25,4f411b45-43d7-44e1-8d21-1ece3dbde1aa
p1_13_416d98f1.jpg,1,Overall mood,13,,,735,898,221283,64.7,30.7,15.7,24,416d98f1-8d6b-428b-9de9-3864cf5f6fed
p1_14_42f5f868.jpg,1,Overall mood,14,,,736,920,245273,30.1,36.5,15.9,24.9,42f5f868-a22a-4e16-891d-dfb732e9bbb0
p1_15_8f013338.jpg,1,Overall mood,15,,,736,915,143171,47.7,37.4,15.9,24.6,8f013338-6bff-4eb4-8d33-7205a980b110
p1_16_safari_fcaae9e5.jpg,1,Overall mood,16,SAFARI,,736,853,202622,11.3,42.2,17.1,24.8,fcaae9e5-820d-46e8-aaf1-8502c3370ac7
p1_17_coconut-roti_5caa1976.jpg,1,Overall mood,17,Coconut Roti,,736,1160,293800,84.1,58.3,11.7,23,5caa1976-4bc3-40f1-9333-848282e9def0
p1_18_35cde34f.jpg,1,Overall mood,18,,,736,981,208453,12.1,60.5,16.6,27.7,35cde34f-40a7-4253-8eb2-736b86678325
p1_19_d5eb0c97.jpg,1,Overall mood,19,,,736,1081,166778,29.9,63.3,14.4,26.3,d5eb0c97-8b2f-405b-9e26-3226ebdf283a
p1_20_sri-lankan-curry_7a68e07f.jpg,1,Overall mood,20,Sri Lankan Curry,,735,912,172412,45.5,63.5,21.1,32.7,7a68e07f-8da2-4131-94b8-08bf80115ede
p1_21_sri-lankan-curry_6e9a323b.jpg,1,Overall mood,21,Sri Lankan Curry,,736,1104,160530,70.6,64.3,12.1,22.6,6e9a323b-4821-4baf-94ac-c4fd351c03fa
p1_22_coconut-roti_a00add7e.jpg,1,Overall mood,22,Coconut Roti,,736,904,187180,85.4,81.5,11.6,17.8,a00add7e-2175-4fd1-9431-9448836b8935
p1_23_watercolor-brush-stroke_SrJq0FJU.png,1,Overall mood,23,"Srı lanka, august 2024",watercolor brush stroke,484,166,40985,-3.1,83.5,51.6,22.1,SrJq0FJUzvpqGhAbo3oTeT1yNQw_6h2UtMgvufdDbHk.png
p1_02_pink-watercolor-splatter_d-Cu7yf7.png,2,Itinerary,1,KANDY,Pink Watercolor Splatter ,800,517,90714,33.2,-23.9,47.7,38.5,d-Cu7yf72rfVJU3ze_fDV-uGyYQOARnWT-hAvRInNwg.png
p1_01_soft-watercolor-splash-stain-background_vMlpd3st.png,2,Itinerary,2,NEGOMBO,Soft watercolor splash stain background,384,430,49956,-12.8,-21.2,38.2,53.5,vMlpd3stG58aHB3O9vM4VaBoitMYEBzJOS5cj2YM820.png
p2_03_kandy_7c1ae5ce.png,2,Itinerary,3,KANDY,,960,640,868265,19,3.5,29.9,24.9,7c1ae5ce-5932-4da7-acbe-090741e762f1
p2_04_negombo_669c5191.png,2,Itinerary,4,NEGOMBO,,900,1200,887764,-2.3,3.8,23.1,38.4,669c5191-fa4e-45a8-8f63-cd7605cf8ee5
p2_05_ella_26905114.png,2,Itinerary,5,ELLA,,1500,1000,1938162,74.8,5.6,26.3,21.9,26905114-07db-4b53-a341-396e3a288a60
p2_06_sigiriya_d0ab1c32.png,2,Itinerary,6,SIGIRIYA,,800,533,452439,47.8,5.7,28,23.3,d0ab1c32-190d-4651-a85c-6548cf9de923
p2_07_negombo_0bbb28d6.png,2,Itinerary,7,NEGOMBO,,705,468,376889,-8.8,24.5,33.8,28.1,0bbb28d6-24aa-43b4-821e-cd284acfee45
p2_08_galle_99f3da8d.png,2,Itinerary,8,GALLE,,1024,768,1254022,39.3,24.8,25.9,24.3,99f3da8d-00f0-4c3a-b1f9-deaadf2ada91
p2_09_galle_cdda466c.png,2,Itinerary,9,GALLE,,1600,1067,3320523,53.8,26.8,32.3,27,cdda466c-d94c-4fa3-87c4-b19261e36dcf
p2_10_colombo_95a5cb43.png,2,Itinerary,10,COLOMBO,,600,450,558950,80.1,27.2,21.4,20.1,95a5cb43-c158-4abe-a923-d6041a27fb6b
p2_11_mirissa_c672f37f.png,2,Itinerary,11,MIRISSA,,800,450,862528,18.6,27.4,28.1,19.7,c672f37f-8374-4203-91ab-35bcd1e741c7
p1_04_orange-watercolor-splotch-shape_kHM58rAM.png,2,Itinerary,12,GALLE,Orange Watercolor Splotch Shape,800,781,181741,13.7,40.5,55.5,71.1,kHM58rAMoUtp8h4_U8sDx9MgBZIAVXmZEHMmJbSCHR4.png
p2_13_galle_c6c0f09c.png,2,Itinerary,13,GALLE,,1366,768,1100108,46,50.3,28.6,20.1,c6c0f09c-9156-425a-a310-f5ba2e113dbd
p2_14_galle_afcc05bb.png,2,Itinerary,14,GALLE,,1600,1600,3999918,40.7,52.7,14.4,18,afcc05bb-6bf5-432a-b462-5afe26416da0
p2_15_colombo_1b49b9e8.png,2,Itinerary,15,COLOMBO,,1920,1080,2179070,72.6,52.7,28.5,20.1,1b49b9e8-47d9-43b2-bcf4-615409dd64b3
